"Unique Name","Title","Resource URL title","Resource URL","Creator"
"twitter-arc","ARC","@arc_gov_au","https://twitter.com/arc_gov_au","Australian Research Council"
"twitter-arena","ARENA","@ARENA_aus","https://twitter.com/ARENA_aus","Australian Renewable Energy Agency "
"twitter-arpansa","ARPANSA","@ARPANSANews","https://twitter.com/ARPANSANews","Australian Radiation Protection and Nuclear Safety Agency"
"facebook-artbank","Artbank","Artbank","https://www.facebook.com/ArtbankArt","Ministry for the Arts"
"twitter-artbank","Artbank","@ArtbankAu","https://twitter.com/ArtbankAu","Ministry for the Arts"
"instagram-artbank","Artbank","@artbankau","https://www.instagram.com/artbankau/","Ministry for the Arts"
"twitter-asada-anti-doping","ASADA Anti-Doping","@anti_doping","https://twitter.com/anti_doping","Australian Sports Anti-Doping Authority"
"youtube-asada-video","asadavideo","asadavideo","https://www.youtube.com/user/asadavideo","Australian Sports Anti-Doping Authority"
"twitter-asbestos-safety","Asbestos Safety","@AsbestosSafety","https://twitter.com/AsbestosSafety","Asbestos Safety and Eradication Agency"
"facebook-asbestos-safety-and-eradication-agency","Asbestos Safety and Eradication Agency","Asbestos Safety and Eradication Agency","https://www.facebook.com/","Asbestos Safety and Eradication Agency"
"linkedin-asbestos-safety-and-eradication-agency","Asbestos Safety and Eradication Agency","Asbestos Safety and Eradication Agency","https://www.linkedin.com/company/asbestos-safety-and-eradication-agency","Asbestos Safety and Eradication Agency"
"twitter-asbfeo","ASBFEO","@ASBFEO_AU","https://twitter.com/ASBFEO_AU","Office of the Australian Small Business and Family Enterprise Ombudsman"
"linkedin-asic","ASIC","ASIC","https://www.linkedin.com/company/asic","Australian Securities and Investments Commission"
"twitter-asic-connect","ASIC Connect","@ASIC_Connect","https://twitter.com/ASIC_Connect","Australian Securities and Investments Commission"
"facebook-asic-connect","ASIC Connect","ASIC Connect","https://www.facebook.com/asicconnect","Australian Securities and Investments Commission"
"twitter-asic-media","ASIC Media","@asicmedia","https://twitter.com/asicmedia","Australian Securities and Investments Commission"
"youtube-assic-connect","ASICConnect","ASICConnect","https://www.youtube.com/user/ASICConnect","Australian Securities and Investments Commission"
"twitter-aspi","ASPI","@ASPI_org","https://twitter.com/ASPI_org","Australian Strategic Policy Institute Ltd"
"youtube-aspi-canberra","ASPICanberra","ASPICanberra","https://www.youtube.com/user/ASPICanberra","Australian Strategic Policy Institute Ltd"
"facebook-atlas-of-living-australia","Atlas of Living Australia","Atlas of Living Australia","https://www.facebook.com/atlasoflivingaustralia","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"twitter-atlas-of-living-australia","Atlas of Living Australia","@atlaslivingaust","https://twitter.com/atlaslivingaust","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"blog-ato-lets-talk","ATO Let’s Talk","ATO Let’s Talk","http://lets-talk.ato.gov.au/","Australian Taxation Office"
"twitter-ato-gov-au","ato.gov.au","@ato_gov_au","https://twitter.com/ato_gov_au","Australian Taxation Office"
"twitter-atsb","ATSB","@atsbinfo","https://twitter.com/atsbinfo","Australian Transport Safety Bureau"
"youtube-atsb-info","ATSBinfo","ATSBinfo","https://www.youtube.com/user/ATSBinfo","Australian Transport Safety Bureau"
"facebook-attorney-generals-department","Attorney-General's Department","Attorney-General's Department","https://www.facebook.com/attorneygeneralsdepartment","Attorney-General's Department"
"linkedin-attorney-generals-department","Attorney-General's Department","Attorney-General's Department","https://www.linkedin.com/company/attorney-generals","Attorney-General's Department"
"flickr-attorney-generals","Attorney-General's Department","Attorney-General's Department","https://www.flickr.com/photos/attorneygenerals/","Attorney-General's Department"
"facebook-attorney-generals-department-graduate-program","Attorney-General's Department Graduate Program","Attorney-General's Department Graduate Program","https://www.facebook.com/pages/The-Attorney-Generals-Department-Graduate-Program/241359762621878","Attorney-General's Department"
"youtube-attorney-generalsau","AttorneyGeneralsAU","AttorneyGeneralsAU","https://www.youtube.com/user/AttorneyGeneralsAU","Attorney-General's Department"
"twitter-abs-stats","AU Bureau of Stats","@ABSStats","https://twitter.com/ABSStats","Australian Bureau of Statistics"
"youtube-au-digital-health","AuDigitalHealth","AuDigitalHealth","https://www.youtube.com/c/AuDigitalHealth","Australian Digital Health Agency"
"twitter-audit-office-anao","Audit Office (ANAO)","@ANAO_Australia","https://twitter.com/ANAO_Australia","Australian National Audit Office"
"twitter-austct","Aus Clinical Trials","@AustCT","https://mobile.twitter.com/AustCT","National Health and Medical Research Council"
"twitter-aus-training-awards","Aus Training Awards","@AusTrainAwards","https://twitter.com/AusTrainAwards","Department of Industry, Innovation and Science"
"twitter-ausapprentice","AusApprentice","@AusApprentice","https://twitter.com/AusApprentice","Department of Education and Training"
"youtube-ausgoal","AusGOAL","AusGOAL","https://www.youtube.com/user/AusGOALgovau","Australian Governments Open Access and Licensing Framework"
"twitter-ausgoal","AusGOAL","@AusGOAL","https://twitter.com/ausgoal","Australian Governments Open Access and Licensing Framework"
"twitter-ausgov-arts-and-culture","AusGov Arts&Culture","@artsculturegov","https://twitter.com/artsculturegov","Ministry for the Arts"
"twitter-ausgovcms","AusGovCMS","@AusGovCMS","https://twitter.com/AusGovCMS","Department of Finance"
"youtube-department-of-prime-minister-and-cabinet","AusGovDPMC","AusGovDPMC","https://www.youtube.com/user/AusGovDPMC","Department of the Prime Minister and Cabinet"
"twitter-aus-human-rights","AusHumanRights","@AusHumanRights","https://twitter.com/AusHumanRights","Australian Human Rights Commission"
"twitter-aus-livecorp","AusLiveCorp","@AusLiveCorp","https://twitter.com/AusLiveCorp","Australian Livestock Export Corporation Ltd"
"twitter-aus-of-the-year-awards","AusoftheYearAwards","@ausoftheyear","https://twitter.com/ausoftheyear","National Australia Day Council"
"linkedin-aussie-charities-and-nfps","Aussie Charities and NFPs","Aussie Charities and NFPs","https://www.linkedin.com/groups/4541894/profile","Australian Charities and Not-for-profits Commission"
"twitter-aussportsfoundation","AusSportsFoundation","@AusSportsFdn","https://twitter.com/AusSportsFdn","Australian Sports Foundation Ltd"
"twitter-aust-war-memorial","Aust War Memorial","@AWMemorial","https://twitter.com/AWMemorial","Australian War Memorial"
"twitter-aust-wool-innovation","Aust Wool Innovation","@woolinnovation","https://twitter.com/Woolinnovation","Australian Wool Innovation Ltd"
"instagram-aust-national-maritime-museum","Aust. National Maritime Museum","@anmmuseum","https://www.instagram.com/anmmuseum/","Australian National Maritime Museum"
"youtube-austax-office","AusTaxOffice","AusTaxOffice","https://www.youtube.com/user/AusTaxOffice","Australian Taxation Office"
"twitter-austeggcorpltd","AustEggCorpLtd-AECL","@YourEggs","https://twitter.com/youreggs","Australian Egg Corporation Ltd"
"twitter-austrac","AUSTRAC","@AUSTRAC","https://twitter.com/austrac","Australian Transaction Reports and Analysis Centre"
"rss-austrade","Austrade","RSS feeds","http://www.austrade.gov.au/About-Austrade/Site-information/RSS/RSS","Australian Trade and Investment Commission"
"twitter-austrade","Austrade","@Austrade","https://twitter.com/Austrade","Australian Trade and Investment Commission"
"youtube-austrade","austrade","austrade","https://www.youtube.com/user/austrade","Australian Trade and Investment Commission"
"twitter-australiacom","Australia","@Australia","https://twitter.com/Australia","Tourism Australia"
"youtube-australia","Australia","Australia","https://www.youtube.com/user/australia","Tourism Australia"
"instagram-australia","Australia","@australia","https://www.instagram.com/australia/","Tourism Australia"
"googleplus-australiacom","Australia","Australia","https://plus.google.com/+australia/posts","Tourism Australia"
"twitter-australia-at-cop21","Australia at COP21","@AusCOP21","https://twitter.com/AusCOP21","Department of Foreign Affairs and Trade"
